course,year,semester,code,name
BBIT,1,2,BCIT 1207,INTRODUCTION TO INFORMATION SYSTEMS
BBIT,1,2,BENT 1207,ENTREPRENEURSHIP SKILLS
BBIT,1,2,BLAW 1201,BUSINESS LAW
BBIT,1,2,BMGT 1201,PRINCIPLES AND PRACTICE OF MANAGEMENT
BBIT,1,2,BMKT 1202,PRINCIPLES OF MARKETING
BBIT,2,1,BCIT 2112,SYSTEM ANALYSIS AND DESIGN
BBIT,2,1,BCIT 2122,OBJECT ORIENTED PROGRAMMING
BBIT,2,1,BCIT 2132,WEB DEVELOPMENT
BBIT,2,1,BCSC 1102,INTRODUCTION TO PROGRAMMING
BBIT,2,1,BECO 1101,PRINCIPLES OF MICROECONOMICS
BBIT,2,1,BSTA 2101,STATISTICS
BBIT,3,1,BCIT 3126,HUMAN COMPUTER INTERACTION
BBIT,3,1,BCIT 3131,ICT PROJECT MANAGEMENT
BBIT,3,1,BCIT 3163,BUSINESS SYSTEM MODELLING
BBIT,3,1,BCSC 3113,CLOUD SERVICES & ANALYTICS
BBIT,3,1,BFIN 2101,FINANCIAL MANAGEMENT
BBIT,3,1,BSTA 3108,OPERATIONS RESEARCH
BBIT,4,1,BCIT 4148,INFORMATION ASSURANCE AND SECURITY
BBIT,4,1,BCIT 4149,PROJECT I (SYSTEM DEVELOPMENT PROPOSAL)
BBIT,4,1,BCIT 4159,INTELLECTUAL PROPERTY MANAGEMENT
BBIT,4,1,BCSC 3117,THE INTERNET OF THINGS
BBIT,4,1,BENT 3205,BUSINESS PLANNING
BBIT,4,1,BMKT 3223,MARKETING MANAGEMENT
BBM,1,1,BECO 1101,PRINCIPLES OF MICROECONOMICS
BBM,1,1,BHRM 1101,PRINCIPLES OF HUMAN RESOURCE MANAGEMENT
BBM,1,1,BUCU 1101,COMMUNICATION SKILLS
BBM,1,1,BUCU 1102,LIFE SKILLS
BBM,1,1,BUCU 1104,COMPUTER APPLICATIONS
BBM,1,1,BUCU 1105,CO-OPERATIVE PHILOSOPHY
BBM,2,1,BACC 1132,PRINCIPLES OF ACCOUNTING
BBM,2,1,BACC 2105,COST ACCOUNTING
BBM,2,1,BBAN 1101,PRINCIPLES OF BANKING
BBM,2,1,BFIN 2101,FINANCIAL MANAGEMENT
BBM,2,1,BSTA 2101,STATISTICS
BBM,3,1,BACC 4116,FINANCIAL STATEMENT ANALYSIS
BBM,3,1,BBMM 3103,RISK MANAGEMENT
BBM,3,1,BECO 3107,INTERNATIONAL ECONOMICS
BBM,3,1,BMGT 1213,STRATEGIC MANAGEMENT
BBM,3,1,BPSY 2209,ORGANIZATIONAL BEHAVIOUR
BBM,4,1,BBCU 4101,RESEARCH PROJECT I
BBM,4,1,BBMM 4107,INTERNATIONAL BUSINESS MANAGEMENT
BBM,4,1,BBMM 4108,CONFLICT MANAGEMENT
BBM,4,1,BENT 3205,BUSINESS PLANNING
BBM,4,1,BENT 4202,TECHNOLOGY AND INNOVATION
BBM,4,1,BGEN 4216,GENDER AND DEVELOPMENT
BCCD,1,1,BCIT 1103,COMPUTER APPLICATIONS
BCCD,1,1,BOCD 1101,INTRODUCTION TO COMMUNITY DEVELOPMENT
BCCD,1,1,BUCU 1101,COMMUNICATION SKILLS
BCCD,1,1,BUCU 1103,LIFE SKILLS
BCCD,1,1,BUCU 1105,COOPERATIVE PHILOSOPHY
BCCD,2,1,BCOB 2108,YOUTH LEADERSHIP IN COOPERATIVE DEVELOPMENT
BCCD,2,1,BCOB 2112,MANAGEMENT OF SACCOS
BCCD,2,1,BFIN 2101,FINANCIAL MANAGEMENT
BCCD,2,1,BSOC 2103,RURAL SOCIOLOGY
BCCD,2,1,BSTA 2101,BUSINESS STATISTICS
BCCD,3,1,BCOB 3106,CO-OPERATIVE EDUCATION AND TRAINING
BCCD,3,1,BOCD 3108,PARTICIPATORY DEVELOPMENT APPROACHES
BCCD,3,1,BPSY 3117,SOCIAL PSYCHOLOGY
BCCD,3,1,BSOC 3105,DEVELOPMENT ANTHROPOLOGY
BCCD,3,1,BSWK 3105,SOCIAL POLICY & ADMINISTRATION
BCCD,3,1,BUCU 3101,RESEARCH METHODS
BCCD,4,1,BCCU 4101,RESEARCH PROJECT I
BCCD,4,1,BCOB 4110,COOPERATIVES DEVELOPMENT POLICIES AND ANALYSIS
BCCD,4,1,BCOB 4118,CO-OPERATIVE BANKING
BCCD,4,1,BMFI 4105,RISK MANAGEMENT IN MICROFINANCE
BCCD,4,1,BOCD 4113,PARTICIPATORY TRAINING FOR COMMUNITY LIVELIHOODS
BCCD,4,1,BOCD 4114,FUNDRAISING FOR COMMUNITY PROJECTS
BCCD,4,1,BOCD 4116,COMMUNITY ASSETS AND SERVICES
BCD,1,1,BCIT 1103,COMPUTER APPLICATIONS
BCD,1,1,BOCD 1101,INTRODUCTION TO COMMUNITY DEVELOPMENT
BCD,1,1,BSWK 1101,INTRODUCTION TO SOCIAL WORK
BCD,1,1,BUCU 1101,COMMUNICATION SKILLS
BCD,1,1,BUCU 1103,LIFE SKILLS
BCD,1,1,BUCU 1105,COOPERATIVE PHILOSOPHY
BCD,2,1,BCOB 2108,YOUTH LEADERSHIP IN COOPERATIVE DEVELOPMENT
BCD,2,1,BCOB 2112,MANAGEMENT OF SACCOS
BCD,2,1,BETH 2102,LEADERSHIP AND ETHICS
BCD,2,1,BSOC 2103,RURAL SOCIOLOGY
BCD,2,1,BSTA 2101,BUSINESS STATISTICS
BCD,3,1,BOCD 3108,PARTICIPATORY DEVELOPMENT APPROACHES
BCD,3,1,BPSY 3117,SOCIAL PSYCHOLOGY
BCD,3,1,BSOC 3105,DEVELOPMENT ANTHROPOLOGY
BCD,3,1,BSWK 3105,SOCIAL POLICY &ADMINISTRATION
BCD,3,1,BSWK 3106,DYNAMICS OF GROUP DEVELOPMENT
BCD,3,1,BUCU 3101,RESEARCH METHODS
BCD,4,1,BCCU 4101,RESEARCH PROJECT I
BCD,4,1,BCOD 4115,COMMUNITY LEADERSHIP AND PHILANTHROPHY
BCD,4,1,BCOD 4116,RESOURCE MOBILIZATION FOR COMMUNITY PROJECTS
BCD,4,1,BCOD 4117,ASSETS AND RESOURCES FOR DEVELOPMENT
BCD,4,1,BDRM 3208,COMMUNITY BASED DISASTER RISK REDUCTION
BCD,4,1,BENT 2406,PROJECT MONITORING AND EVALUATION
BCD,4,1,BPSY 4117,ATTITUDES AND BEHAVIOUR CHANGE
BCHM,1,1,BCHM 1101,INTRODUCTION TO HOSPITALITY AND TOURISM INDUSTRY
BCHM,1,1,BCHM 1111,FOOD AND MENU KNOWLEDGE
BCHM,1,1,BCHM 1121,FOOD AND BEVERAGE SERVICE THEORY
BCHM,1,1,BLAN 1101,FRENCH 1 A
BCHM,1,1,BUCU 1101,COMMUNICATION SKILLS
BCHM,1,1,BUCU 1102,LIFE SKILLS
BCHM,1,1,BUCU 1105,CO-OPERATIVE PHILOSOPHY
BCHM,2,1,BCHM 2107,BEVERAGE KNOWLEDGE THEORY & PRACTICAL
BCHM,2,1,BCHM 2109,FOOD AND BEVERAGE COSTING & CONTROL
BCHM,2,1,BCHM 2110,FOOD NUTRITION
BCHM,2,1,BCHM 2111,SAFETY & FIRST AID
BCHM,2,1,BCHM 2112,FACILITY MANAGEMENT
BCHM,2,1,BLAN 2105,FRENCH 2
BCHM,2,1,BSTA 2101,STATISTICS
BCHM,3,1,BACC 3102,HOSPITALITY ACCOUNTING
BCHM,3,1,BCHM 3137,FOOD & BEVERAGE MANAGEMENT II
BCHM,3,1,BCHM 3143,LAUNDRY OPERATIONS THEORY & PRACTICAL
BCHM,3,1,BCIT 3166,HOSPITALITY AND TOURISM INFORMATION SYSTEMS
BCHM,3,1,BLAW 3144,HOSPITALITY LAW & LEGAL SYSTEMS
BCHM,3,1,BMKT 3143,HOSPITALITY MARKETING
BCHM,3,1,BSTA 1222,BUSINESS STATISTICS
BCHM,4,1,BBCU 3201,RESEARCH METHODS
BCHM,4,1,BCHM 4128,FOOD & BEVERAGE MANAGEMENT IV
BCHM,4,1,BCHM 4129,HOSPITALITY OPERATIONS MANAGEMENT
BCHM,4,1,BCHM 4130,SERVICE QUALITY MANAGEMENT
BCHM,4,1,BENT 4101,TRAINING IN ENTERPRISE DEVELOPMENT
BCHM,4,1,BFIN 4105,FINANCIAL MANAGEMENT
BCHM,4,1,BMGT 1213,STRATEGIC MANAGEMENT
BCOB,1,1,BACC 1132,PRINCIPLES OF ACCOUNTING
BCOB,1,1,BCOB 1101,PRINCIPLES OF CO-OPERATIVE ACCOUNTING
BCOB,1,1,BSOC 1102,INTRODUCTION TO SOCIOLOGY
BCOB,1,1,BUCU 1102,LIFE SKILLS
BCOB,1,1,BUCU 1104,COMPUTER APPLICATIONS
BCOB,1,1,BUCU 1105,COOPERATIVE PHILOSOPHY
BCOB,2,1,BACC 2105,COST ACCOUNTING
BCOB,2,1,BACC 2106,ACCOUNTING FOR ASSETS
BCOB,2,1,BBAN 1101,PRINCIPLES OF BANKING
BCOB,2,1,BCOB 2102,CO-OPERATIVE MANAGEMENT
BCOB,2,1,BFIN 2101,FINANCIAL MANAGEMENT
BCOB,2,1,BSTA 2101,STATISTICS
BCOB,3,1,BACC 2206,PRINCIPLES OF TAXATION
BCOB,3,1,BCOB 3106,CO-OPERATIVE EDUCATION AND TRAINING
BCOB,3,1,BCOB 3206,CO-OPERATIVE AUDITING
BCOB,3,1,BCOB 4109,CO-OPERATIVE LEADERSHIP AND CHANGE MANAGEMENT
BCOB,3,1,BFIN 3104,FINANCIAL INSTITUTIONS AND MARKETS
BCOB,3,1,BFIN 3108,FINANCIAL MANAGEMENT II
BCOB,3,1,BMGT 3105,CORPORATE GOVERNANCE AND ETHICS
BCOB,4,1,BCCU 4101,RESEARCH PROJECT I
BCOB,4,1,BCHH 2302,HUMAN RESOURCE DEVELOPMENT
BCOB,4,1,BCOB 4110,CO-OPERATIVE DEVELOPMENT POLICIES AND ANALYSIS
BCOB,4,1,BCOB 4118,CO-OPERATIVE BANKING
BCOB,4,1,BFIN 4205,MICROFINANCE
BCOB,4,1,BFIN 4214,FINANCIAL MODELLING AND FORECASTING
BCOB,4,1,BMGT 4106,CONSTITUTION AND GOVERNANCE
BCOM,1,1,BUCU 1102,LIFE SKILLS
BCOM,1,1,BUCU 1104,COMPUTER APPLICATIONS
BCOM,1,1,BUCU 1105,COOPERATIVE PHILOSOPHY
BCOM,2,1,BACC 1132,PRINCIPLES OF ACCOUNTING
BCOM,2,1,BACC 2105,COST ACCOUNTING
BCOM,2,1,BACC 2106,ACCOUNTING FOR ASSETS
BCOM,2,1,BACC 3128,ADVANCED FINANCIAL MANAGEMENT
BCOM,2,1,BECO 1101,PRINCIPLES OF MICROECONOMICS
BCOM,2,1,BECO 2103,INTERMEDIATE MICROECONOMICS
BCOM,2,1,BHRM 1101,PRINCIPLES OF HUMAN RESOURCE MANAGEMENT
BCOM,2,1,BSTA 1222,BUSINESS STATISTICS
BCOM,2,1,BSTA 2101,STATISTICS
BCOM,2,1,BUCU 1101,COMMUNICATION SKILLS
BCOM,3,1,BACC 3109,ADVANCED TAXATION
BCOM,3,1,BACC 3201,AUDITING AND ASSURANCE
BCOM,3,1,BACC 3202,FINANCIAL REPORTING AND ANALYSIS
BCOM,3,1,BBAN 3103,PRINCIPLES OF BANKING
BCOM,3,1,BFIN 3104,FINANCIAL INSTITUTIONS AND MARKETS
BCOM,3,1,BFIN 3132,ADVANCED FINANCIAL MANAGEMENT
BCOM,3,1,BFIN 3133,ADVANCED PUBLIC FINANCE
BCOM,3,1,BHRM 3101,PROCUREMENT OF HUMAN RESOURCES
BCOM,3,1,BHRM 3102,HUMAN RESOURCE DEVELOPMENT
BCOM,3,1,BHRM 3103,EMPLOYEE RELATIONS
BCOM,3,1,BLAW 3130,BANKING LAW AND PRACTICE
BCOM,3,1,BMGT 1213,STRATEGIC MARKETING MANAGEMENT
BCOM,3,1,BMKT 3120,CONSUMER BEHAVIOUR
BCOM,3,1,BMKT 3223,MARKETING MANAGEMENT
BCOM,3,1,BPSM 3103,SUPPLIES AND MATERIALS MANAGEMENT I
BCOM,3,1,BPSM 3125,STORES MANAGEMENT AND STOCK CONTROL
BCOM,3,1,BPSM 3127,RETAIL AND MERCHADISE MANAGEMENT
BCOM,3,1,BSTA 3108,OPERATIONS RESEARCH
BCOM,4,1,BACC 4115,ADVANCED MANAGEMENT ACCOUNTING
BCOM,4,1,BACC 4201,ADVANCED FINANCIAL REPORTING
BCOM,4,1,BBCU 4101,RESEARCH PROJECT I
BCOM,4,1,BFIN 3201,FINANCIAL STATEMENT ANALYSIS
BCOM,4,1,BFIN 4101,INTERNATIONAL FINANCE
BCOM,4,1,BFIN 4102,PENSION FINANCE
BCOM,4,1,BFIN 4103,FINANCIAL RISK MANAGEMENT
BCOM,4,1,BMKT 3111,MARKETING LOGISTICS
BCOM,4,1,BMKT 3226,MARKETING RESEARCH
BCOM,4,1,BMKT 4128,MARKETING COMMUNICATION STRATEGY
BCS,1,2,BCIT 2112,SYSTEM ANALYSIS AND DESIGN
BCS,1,2,BCSC 1102,INTRODUCTION TO PROGRAMMING
BCS,1,2,BCSC 1204,DATA STRUCTURES AND ALGORITHMS
BCS,1,2,BCSC 2103,COMPUTER DESIGN AND ORGANIZATION
BCS,1,2,BCSE 1203,STRUCTURED PROGRAMMING LAB
BCS,1,2,BMAT 1101,BASIC MATHEMATICS
BCS,1,2,BMAT 1204,DISCRETE MATHEMATICS
BCS,1,2,BMAT 1205,CALCULUS I
BCS,1,2,BMAT 2109,LINEAR ALGEBRA
BCS,1,2,BPHY 1204,DIGITAL LOGIC AND ELECTRONICS
BCS,1,2,BPHY 1205,ELECTRONICS I
BCS,1,2,BSTA 1203,PROBABILITY AND STATISTICS I
BCS,1,2,BUCI 1101,COMMUNICATION SKILLS
BCS,1,2,BUCI 1102,LIFE SKILLS
BCS,1,2,BUCI 1104,COMPUTER APPLICATIONS
BCS,2,2,BCIT 1208,COMPUTER NETWORKS
BCS,2,2,BCIT 1210,DATABASE MANAGEMENT SYSTEMS
BCS,2,2,BCIT 2214,SOFTWARE ENGINEERING
BCS,2,2,BCIT 2217,OBJECT ORIENTED PROGRAMMING II
BCS,2,2,BCIT 2218,INTERNET APPLICATION PROGRAMMING
BCS,2,2,BCSC 2207,SCIENTIFIC COMPUTING
BCS,2,2,BENT 1207,ENTREPRENEURSHIP SKILLS
BCS,3,2,BCIT 3238,MOBILE APPLICATION DEVELOPMENT
BCS,3,2,BCIT 3260,RESEARCH METHODS FOR IT
BCS,3,2,BCIT 3262,DATABASE PROGRAMMING
BCS,3,2,BCIT 4261,SYSTEM SECURITY AND AUDIT
BCS,3,2,BCSC 3212,QUANTUM COMPUTER SCIENCE
BCS,3,2,BCSC 3220,COMPILER CONSTRUCTION AND DESIGN
BCS,3,2,BCSC 3225,ARTIFICIAL INTELLIGENCE
BCS,4,2,BCIT 4264,PROJECT II
BCS,4,2,BCIT 4266,COMPUTING LAW AND ETHICS
BCS,4,2,BCSC 4232,EXPERT SYSTEMS
BCS,4,2,BCSC 4234,COMPUTER GRAPHICS
BCS,4,2,BCSC 4248,PATTERN RECOGNITION
BCS,4,2,BCSC 4250,NETWORK PROGRAMMING
BCS,4,2,BSCS 4227,DATA SCIENCE
BCTT,2,2,BCTT 2218,Internet Application Programming
BDAT,1,1,BCSC 1102,INTRODUCTION TO PROGRAMMING
BDAT,1,1,BDSC 1101,OPEN SOURCE TOOLS FOR DATA SCIENCE
BDAT,1,1,BMAT 1101,BASIC MATHEMATICS
BDAT,1,1,BUCU 1101,COMMUNICATION SKILLS
BDAT,1,1,BUCU 1102,LIFE SKILLS
BDAT,1,1,BUCU 1104,COMPUTER APPLICATIONS
BDAT,1,1,BUCU 1105,COOPERATIVE PHILOSOPHY
BDAT,2,1,BCIT 2122,OBJECT ORIENTED PROGRAMMING
BDAT,2,1,BDSC 2102,NOSQL DATABASE SYSTEMS
BDAT,2,1,BMAT 2109,LINEAR ALGEBRA
BDAT,2,1,BMAT 2111,CALCULUS II
BDAT,2,1,BSTA 2104,PROBABILITY AND STATISTICS II
BDAT,2,1,BSTA 2132,INTRODUCTION TO STATISTICAL COMPUTING
BDAT,2,1,BSTA 2134,LINEAR MODELS I
BDAT,2,2,BCIT 2214,Software Engineering
BDAT,2,2,BCSC 2207,Scientific Computing
BDAT,2,2,BCTT 2218,Internet Application Programming
BDAT,2,2,BDSC 2203,Data Communication
BDAT,2,2,BDSC 2203A,Data Preparation
BDAT,2,2,BSTA 2134,Linear Models II
BDAT,2,2,BSTA 2206,Probability and Statistics III
BDAT,3,1,BCIT 2115,PYTHON PROGRAMMING
BDAT,3,1,BDSC 3105,DATA SCIENCE METHODOLOGY
BDAT,3,1,BDSC 3106,DATA SCIENCE IN THE SOCIETY
BDAT,3,1,BDSC 3107,DATA WAREHOUSING
BDAT,3,1,BDSC 3109,BUSINESS INTELLIGENCE AND BIG DATA ANALYTICS
BDAT,3,1,BSTA 3111,PROBABILITY AND STATISTICS IV
BDAT,3,1,BSTA 3152,STATISTICAL PROGRAMMING
BDAT,4,1,BCIT 4139,COMPUTER SYSTEMS SECURITY
BDAT,4,1,BCIT 4141,CLOUD COMPUTING
BDAT,4,1,BCSC 4178,DEEP LEARNING
BDAT,4,1,BDSC 4113,DIGITAL TRANSFORMATION
BDAT,4,1,BDSC 4114,CREATIVE THINKING
BDAT,4,1,BSTA 4150,PROJECT I (RESEARCH PROJECT PROPOSAL)
BDRM,1,1,BCIT 1103,COMPUTER APPLICATIONS
BDRM,1,1,BDRM 1101,INTRODUCTION TO DISASTER MANAGEMENT
BDRM,1,1,BSOC 1206,FUNDAMENTALS OF SOCIOLOGY
BDRM,1,1,BUCU 1101,COMMUNICATION SKILLS
BDRM,1,1,BUCU 1102,COOPERATIVE PHILOSOPHY
BDRM,1,1,BUCU 1103,LIFE SKILLS
BDRM,2,1,BAFS 2206,"AGRICULTURE, FOOD SECURITY AND ENVIRONMENT"
BDRM,2,1,BDEV 2108,SUSTAINABLE DEVELOPMENT THEORY AND PRACTICE
BDRM,2,1,BDMR 2206,DISASTERS AND SOCIETY
BDRM,2,1,BDRM 2207,GENDER ISSUES IN DISASTER RISK MANAGEMENT
BDRM,2,1,BDRM 2208,DISASTER PREPAREDNESS AND PLANNING
BDRM,3,1,BDRM 3109,DISASTER RISK AND VULNERABILITY ASSESSMENT
BDRM,3,1,BDRM 3110,"DISASTERS, ENVIRONMENT & SUSTAINABLE DEVELOPMENT"
BDRM,3,1,BDRM 3111,RURAL & URBAN DEVELOPMENT PLANNING
BDRM,3,1,BEMM 2208,EMERGENCE RESPONSE & INCIDENT MANAGEMENT
BDRM,3,1,BETE 3102,GIS & REMOTE SENSING I
BDRM,3,1,BSOC 3107,COMMUNITY MOBILIZING & SOCIAL ACTION
BDRM,4,1,BCCU 4101,RESEARCH PROJECT I (57)
BDRM,4,1,BDRM 4110,POST DISASTER REHABILITATION & RECOVERY
BDRM,4,1,BDRM 4112,URBAN DISASTER PLANNING
BDRM,4,1,BENV 4114,ENVIRONMENTAL LAW & POLICY
BDRM,4,1,BENV 4115,GLOBALIZATION & SUSTAINABLE DEVELOPMENT
BDRM,4,1,BENV 4116,HARZADOUS MATERIALS AND WASTE MANAGEMENT
BDS,1,1,BCIT 1103,COMPUTER APPLICATIONS
BDS,1,1,BDVS 1101,HISTORY OF DEVELOPMENT THOUGHT
BDS,1,1,BECO 1101,INTRODUCTION TO MICROECONOMICS
BDS,1,1,BUCU 1101,COMMUNICATION SKILLS
BDS,1,1,BUCU 1103,LIFE SKILLS
BDS,1,1,BUCU 1105,COOPERATIVE PHILOSOPHY
BECO,1,1,BACC 1201,PRINCIPLES OF ACCOUNTING
BECO,1,1,BECO 1103,INTRODUCTION TO MICROECONOMICS
BECO,1,1,BMAT 1101,BASIC MATHEMATICS
BECO,1,1,BUCU 1101,COMMUNICATION SKILLS
BECO,1,1,BUCU 1102,LIFE SKILLS
BECO,1,1,BUCU 1104,COMPUTER APPLICATIONS
BECO,1,1,BUCU 1105,CO-OPERATIVE PHILOSOPHY
BECO,2,1,BACC 2105,COST ACCOUNTING
BECO,2,1,BAFS 2112,AGRICULTURAL ECONOMICS
BECO,2,1,BECO 2103,INTERMEDIATE MICROECONOMICS
